id,Polarity,Tonality,Contradictions,Rhetorical Techniques,Propaganda Methods,Logical Errors
9275,negative,critical,no,"anecdotal evidence, contrast","appeal to authority, loaded language",hasty generalization
9276,neutral,informative,no,"statistical evidence, anecdote","appeal to emotion, ad hominem",none
9277,negative,critical,no,"accusation, appeal to authority, ad hominem","fearmongering, red herring, bandwagon","['hasty generalization', 'straw man']"
9278,positive,reassuring,yes,"appeal to authority, statistics, contrast","bandwagon, ad hominem, fearmongering",false dilemma
9279,negative,serious,no,"statistics, appeal to emotions, vagueness","fearmongering, scapegoating",hasty generalization
9280,negative,critical,no,"historical reference, contrast, repetition","misleading statistics, attacking opponents, emotional appeal",straw man fallacy
9281,neutral,descriptive,yes,"appeal to authority, stored reputation, quoting","transfer, card stacking, bandwagon",false dilemma
9282,negative,cynical,no,"hyperbole, loaded language, simplification","fearmongering, scare quotes, discrediting","['slippery slope', 'hasty generalization']"
9283,positive,optimistic,no,"historical reference, contrast, anecdotal evidence","appeal to emotion, cherry-picking, testimonial",overgeneralization
9284,negative,accusatory,yes,"contrast, appeal to authority","fearmongering, demonization",false dichotomy
9285,positive,optimistic,no,"appeal to authority, prospective framing, comparative analysis","selective omission, appeal to consensus",non sequitur
9286,negative,critical,no,"statistical evidence, contrast, appeal to authority","card stacking, plain folks",hasty generalization
9287,neutral,informative,no,"reference, quoting, causation","bandwagon, appeal to authority, fear-mongering",non-sequitur
9288,negative,critical,yes,"historical reference, contrast, quotations","scare tactics, appeal to authority, selective evidence","['hasty generalization', 'post hoc fallacy']"
9289,positive,optimistic,no,"appeal to authority, statistics, emotional appeal","bandwagon, testimonial, fact and figures",none
9290,negative,accusatory,no,"ad hominem, loaded language, appeal to authority","demonization, cherry-picking, fear mongering",appeal to emotion
9291,neutral,cautiously optimistic,yes,"anecdotal evidence, appeal to authority, cause and effect","bandwagon, cherry-picking, card stacking",false cause
9292,negative,critical,no,"appeal to emotion, comparative analysis, use of ethos","fearmongering, appeal to popular opinion, demonization",hasty generalization
9293,negative,skeptical,yes,"appeal to authority, contrast, analogy","deflection, reassurance",post hoc fallacy
9294,negative,critical,no,"hyperbole, comparative language","emotional appeal, fearmongering",no logical error
9295,negative,critical,yes,"reference to authority, repetition, conditional clause","appeal to authority, fear-mongering, cherry-picking",hasty generalization
9296,negative,critical,no,"statistics, direct address","fear appeal, bandwagon",hasty generalization
9297,neutral,informative,no,"historical context, quantification, causal relationship","fear-mongering, appeal to authority",hasty generalization
9298,positive,informative,no,"appeal to authority, logical progression, inclusive language","bandwagon, fear appeal",false cause
9299,negative,critical,yes,"contrast, pathos, anaphora","demonization, scapegoating, fear-mongering",straw man
9300,negative,cautionary,yes,"hyperbole, anecdotal evidence","misleading statistics, fear mongering",hasty generalization
9301,positive,optimistic,no,"appeal to authority, quantification, inclusive language","card stacking, transfer",hasty generalization
9302,neutral,analytical,yes,"anecdote, quoting authority, contrast","appeal to authority, selective omission",false dichotomy
9303,negative,urgent,no,"comparison, hyperbole, statistics","appeal to emotion, selection bias",hasty generalization
9304,positive,confident,no,"assertion, anecdotal evidence","bandwagon, appeal to authority","['hasty generalization', 'appeal to ignorance']"
9305,neutral,informative,no,"hyperbole, exclusive language, direct quotation","bandwagon, celebrity endorsement, fear-mongering","['oversimplification', 'cherry-picking']"
9306,negative,critical,no,"allusion, exaggeration, framing","demonization, fear mongering, ad hominem","['hasty generalization', 'straw man']"
9307,negative,definitive,no,"claim, appeal to authority, dichotomy","fearmongering, appeal to logic",hasty generalization
9308,neutral,informative,no,"assertion, appeal to tradition, superlative","glittering generalities, fear tactics, misleading statistics",hasty generalization
9309,neutral,informative,no,"repetition, appeal to authority, euphemism","downplaying, emotional appeal, selective omission",none
9310,positive,optimistic,no,"testimonial, appeal to emotion","card stacking, transfer",hasty generalization
9311,neutral,assertive,yes,"assertion, contrasting comparison","fear-mongering, misleading statistics",straw man argument
9312,negative,critical,no,"hyperbole, comparative statement, anecdotal evidence","demonization, cherry-picking, fear appeal",hasty generalization
9313,negative,cautionary,no,"appeal to authority, contrast, quoting","transfer, fear-mongering, unification",false dichotomy
9314,neutral,inquisitive,no,"contextualization, quoting authority, imagery, contrast","appeal to authority, bandwagon, emotional appeal",none identified
9315,neutral,factual,no,"quantification, comparative","selective statistics, anecdotal evidence",hasty generalization
9316,negative,alarmist,no,"hyperbole, implication, appeal to emotion","scare tactics, ad hominem, false dilemma",straw man logic
9317,positive,optimistic,no,"superlative, contrast","appeal to authority, bandwagon","['red herring', 'false cause']"
9318,neutral,solemn,yes,"appeal to pathos, inclusive language","card stacking, bandwagon",hasty generalization
9319,negative,critical,yes,"highlighting unfavorable statistics, contrast, appeal to authority","fear-mongering, testimonial, ad hominem",straw man
9320,negative,accusatory,yes,"appeal to authority, loaded language","ad hominem, fear-mongering",hasty generalization
9321,neutral,narrative,no,"anecdote, appeal to family legacy","testimonial, anecdotal evidence",none
9322,negative,alarmist,no,"appeal to fear, hyperbole, anecdotal evidence","demonization, selective omission",straw man
9323,neutral,assertive,yes,"metaphor, repetition, contrast","appeal to authority, emotional appeal",hasty generalization
9324,neutral,informative,no,"appeal to authority, causal reasoning, contrast","fear appeals, cherry-picking",post hoc
9325,neutral,informative,yes,"comparative statement, statistical evidence","appeal to success, misleading statistics","['false comparison', 'hasty generalization']"
9326,negative,accusatory,no,"hyperbole, euphemism","cherry-picking, misleading statistics","['hasty generalization', 'false dichotomy']"
9327,negative,accusatory,no,"appeal to emotion, repetition","fear mongering, ad hominem",hasty generalization
9328,negative,critical,yes,"irony, anaphora, loaded language","scare tactics, bandwagon appeal, euphemism",false dilemma
9329,positive,affirmative,no,"quoting, temporal reference","testimonial, card stacking",no error
9330,neutral,analytical,no,"comparison, statistical claim, local focus","appeal to authority, card stacking, fear appeal",hasty generalization
9331,neutral,informative,no,"speaker ethos, contrast","appeal to authority, nuance",none
9332,neutral,informative,no,"authority, specificity, contrast","appeal to fear, selective omission, emotional appeal",hasty generalization
9333,negative,assertive,yes,"exaggeration, appeal to ethos, comparison","card stacking, bandwagon, false dilemma",hasty generalization
9334,negative,accusatory,yes,"appeal to authority, contrast, historical reference","scare tactics, false dichotomy, spin","['hasty generalization', 'red herring']"
9335,negative,critical,yes,"contrast, implying hypocrisy, emphasis","name-calling, fear-mongering, selective omission","false dilemma, hasty generalization"
9336,neutral,informative,yes,"quantitative evidence, appeal to authority, ambiguity","card stacking, loaded language, demonization","['hasty generalization', 'straw man']"
9337,positive,optimistic,no,"hyperbole, anecdote, parallelism","testimonial, appeal to authority, bandwagon",hasty generalization
9338,negative,alarmist,yes,"appeal to emotion, hyperbole, dichotomy","fear mongering, scapegoating, misleading statistics",non sequitur
9339,negative,serious,yes,"hyperbole, contrast, appeal to emotion","scare tactics, selective statistics",hasty generalization
9340,positive,confident,yes,"anaphora, anecdote, inclusive language","card stacking, transfer",non sequitur
9341,neutral,assertive,no,"causation, pathos, temporal juxtaposition","glittering generalities, bandwagon, red herring",post hoc ergo propter hoc
9342,negative,cautionary,yes,"euphemism, hypophora, appeal to authority","fear mongering, plain folks, bandwagon",slippery slope
9343,positive,persuasive,yes,"causal relationship, statistical evidence","glittering generalities, misleading attribution","['non sequitur', 'false cause']"
9344,negative,critical,no,"anecdote, hyperbole, pathos","card stacking, statistics, fear appeals","hasty generalization, post hoc ergo propter hoc"
9345,positive,informative,no,"statistics, appeal to authority","appeal to emotion, selective omission",hasty generalization
9346,positive,confident,no,"emphasis, appeal to authority, inclusive language","card stacking, glittering generalities",hasty generalization
9347,negative,critical,no,"irony, hyperbole, allusion","fear appeal, bandwagon","red herring, false dichotomy"
